a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	88	107	13374	0.998613	0.000004	0.000002	0.000011	0.000000	0.000007	0.000000	0.001363	0.000000	0.000004	0.001370	0.001374	0.000002	0.000000	0.000000	0.001365	0.000000	0.001365	0.001376	-0.000002	-19679.435383	82	-1	0.971101	4.349742e-01,1.627332e-01,2.734620e-02,1.748215e-01,1.164062e-01,2.195773e-02,3.280482e-02,2.277349e-02,6.182631e-03	0.516734	0.263102	-0.006334	-21871.119570	10
0	2	88	151	13442	0.999883	0.000000	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000	0.000107	0.000107	0.000117	0.000107	0.000107	0.000107	0.000107	0.000000	0.000107	0.000107	0.000112	0.000005	-19574.628640	54	-1	0.976038	4.329153e-01,1.693494e-01,2.289844e-02,1.824367e-01,1.063359e-01,2.463403e-02,2.989519e-02,2.559035e-02,5.944734e-03	0.496480	0.233806	0.001218	-21904.265296	10
0	3	88	152	13276	0.998248	0.000049	0.001689	0.000000	0.000000	0.000013	0.000000	0.000000	0.000001	0.001714	0.000013	0.000001	0.000857	0.000001	0.000001	0.001689	0.000001	0.001690	0.001721	0.000006	-19631.072289	90	-1	0.963985	4.231155e-01,1.780414e-01,2.353211e-02,1.702205e-01,1.219930e-01,2.154429e-02,2.728656e-02,2.670121e-02,7.565393e-03	0.416570	0.272716	0.031781	-21813.171744	10
0	4	88	154	13368	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000006	-19649.480955	82	-19649.482312	0.970665	4.162425e-01,1.890871e-01,1.962716e-02,1.750753e-01,1.176391e-01,2.076731e-02,2.945912e-02,2.624179e-02,5.860662e-03	0.417262	0.255594	0.030113	-21856.438395	10
0	5	88	156	13382	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	0.000008	-19763.779765	86	-19763.781417	0.971682	4.223690e-01,1.767514e-01,2.608000e-02,1.723718e-01,1.216321e-01,1.952775e-02,2.830204e-02,2.809988e-02,4.866133e-03	0.447103	0.269615	0.020106	-21942.902047	10
0	6	88	183	13235	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000027	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000014	0.000013	-19387.131186	70	-19387.134821	0.961008	4.288418e-01,1.721552e-01,2.297026e-02,1.783131e-01,1.134017e-01,2.295312e-02,3.113555e-02,2.438418e-02,5.845134e-03	0.477116	0.250938	0.008309	-21613.165966	10
0	7	88	184	13368	0.996740	0.000126	0.003133	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003197	0.000000	0.000000	0.001598	0.000000	0.000000	0.003133	0.000000	0.003133	0.003197	0.000000	-19513.730417	114	-1	0.970665	4.321307e-01,1.736696e-01,1.930454e-02,1.732451e-01,1.173274e-01,2.313930e-02,2.744411e-02,2.555331e-02,8.185937e-03	0.398446	0.265233	0.037810	-21763.572200	10
0	8	88	186	13373	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000063	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000032	0.000032	-19485.066670	86	-19485.073889	0.971028	4.233502e-01,1.781545e-01,2.351826e-02,1.770499e-01,1.169442e-01,1.944520e-02,2.965245e-02,2.639293e-02,5.492412e-03	0.454667	0.257465	0.016699	-21843.063260	10
0	9	88	187	13405	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000074	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000040	0.000037	-19500.298104	74	-19500.308412	0.973352	4.279158e-01,1.786789e-01,1.888015e-02,1.756505e-01,1.129886e-01,2.457542e-02,2.778383e-02,2.629035e-02,7.236437e-03	0.412997	0.250053	0.031149	-21862.210826	10
0	10	88	194	13398	0.998570	0.000000	0.000047	0.000003	0.000000	0.000000	0.000003	0.000511	0.000866	0.000915	0.001380	0.001380	0.000891	0.000867	0.000866	0.000558	0.000866	0.001424	0.001428	-0.000001	-19805.568038	66	-1	0.972843	4.327674e-01,1.647994e-01,2.755747e-02,1.792617e-01,1.106279e-01,2.372083e-02,2.846291e-02,2.417518e-02,8.627226e-03	0.506386	0.246950	-0.002304	-21996.104107	10
